#1 ExportDSV:(cl_@PIECES) 24-10-30 22:25:29 [ LUA ]
#2 PIECES:(	MODEL	TYPE	NAME	LINEID	POINT	ORIGIN	ANGLE	CLASS)
TRACKASSEMBLY_PIECES	"models/alexcookie/2ft/straight/straight_512.mdl"	"AlexCookie's 2ft track pack"	"Straight 512"	2	"NULL"	"0 ,0,13.04688"	"0,-180,0"	"NULL"
TRACKASSEMBLY_PIECES	"models/alexcookie/2ft/straight/straight_64.mdl"	"AlexCookie's 2ft track pack"	"Straight 64"	1	"NULL"	"64,0,13.04688"	"NULL"	"NULL"
TRACKASSEMBLY_PIECES	"models/alexcookie/2ft/straight/straight_64.mdl"	"AlexCookie's 2ft track pack"	"Straight 64"	2	"NULL"	"0 ,0,13.04688"	"0,-180,0"	"NULL"
TRACKASSEMBLY_PIECES	"models/alexcookie/2ft/switch/switch_90_left_0.mdl"	"AlexCookie's 2ft track pack"	"Switch 90 Left 0"	1	"NULL"	"0,0,13.04688"	"NULL"	"NULL"
TRACKASSEMBLY_PIECES	"models/alexcookie/2ft/switch/switch_90_left_0.mdl"	"AlexCookie's 2ft track pack"	"Switch 90 Left 0"	2	"NULL"	"-512,0,13.04688"	"0,-180,0"	"NULL"
TRACKASSEMBLY_PIECES	"models/alexcookie/2ft/switch/switch_90_left_0.mdl"	"AlexCookie's 2ft track pack"	"Switch 90 Left 0"	3	"NULL"	"-480,-480,13.04688"	"0,-90,0"	"NULL"
TRACKASSEMBLY_PIECES	"models/alexcookie/2ft/switch/switch_90_left_1.mdl"	"AlexCookie's 2ft track pack"	"Switch 90 Left 1"	1	"NULL"	"0,0,13.04688"	"NULL"	"NULL"
TRACKASSEMBLY_PIECES	"models/alexcookie/2ft/switch/switch_90_left_1.mdl"	"AlexCookie's 2ft track pack"	"Switch 90 Left 1"	2	"NULL"	"-512,0,13.04688"	"0,-180,0"	"NULL"
TRACKASSEMBLY_PIECES	"models/alexcookie/2ft/switch/switch_90_left_1.mdl"	"AlexCookie's 2ft track pack"	"Switch 90 Left 1"	3	"NULL"	"-480,-480,13.04688"	"0,-90,0"	"NULL"
TRACKASSEMBLY_PIECES	"models/alexcookie/2ft/switch/switch_90_right_0.mdl"	"AlexCookie's 2ft track pack"	"Switch 90 Right 0"	1	"NULL"	"0,0,13.04688"	"NULL"	"NULL"
TRACKASSEMBLY_PIECES	"models/alexcookie/2ft/switch/switch_90_right_0.mdl"	"AlexCookie's 2ft track pack"	"Switch 90 Right 0"	2	"NULL"	"-512,0,13.04688"	"0,-180,0"	"NULL"
TRACKASSEMBLY_PIECES	"models/alexcookie/2ft/switch/switch_90_right_0.mdl"	"AlexCookie's 2ft track pack"	"Switch 90 Right 0"	3	"NULL"	"-480,480,13.04688"	"0,90,0"	"NULL"
TRACKASSEMBLY_PIECES	"models/alexcookie/2ft/switch/switch_90_right_1.mdl"	"AlexCookie's 2ft track pack"	"Switch 90 Right 1"	1	"NULL"	"0,0,13.04688"	"NULL"	"NULL"
TRACKASSEMBLY_PIECES	"models/alexcookie/2ft/switch/switch_90_right_1.mdl"	"AlexCookie's 2ft track pack"	"Switch 90 Right 1"	2	"NULL"	"-512,0,13.04688"	"0,-180,0"	"NULL"
TRACKASSEMBLY_PIECES	"models/alexcookie/2ft/switch/switch_90_right_1.mdl"	"AlexCookie's 2ft track pack"	"Switch 90 Right 1"	3	"NULL"	"-480,480,13.04688"	"0,90,0"	"NULL"
TRACKASSEMBLY_PIECES	"models/anytracks/straight/hs_1024.mdl"	"Anyone's Horrible Trackpack"	"Horrible Straight 1024"	1	"NULL"	"0,512,0"	"0,90,0"	"NULL"
TRACKASSEMBLY_PIECES	"models/anytracks/straight/hs_1024.mdl"	"Anyone's Horrible Trackpack"	"Horrible Straight 1024"	2	"NULL"	"0,-512,0"	"0,-90,0"	"NULL"
TRACKASSEMBLY_PIECES	"models/anytracks/straight/hs_128.mdl"	"Anyone's Horrible Trackpack"	"Horrible Straight 128"	1	"NULL"	"0,64,0"	"0,90,0"	"NULL"
TRACKASSEMBLY_PIECES	"models/anytracks/straight/hs_128.mdl"	"Anyone's Horrible Trackpack"	"Horrible Straight 128"	2	"NULL"	"0,-64,0"	"0,-90,0"	"NULL"
TRACKASSEMBLY_PIECES	"models/anytracks/straight/hs_2048.mdl"	"Anyone's Horrible Trackpack"	"Horrible Straight 2048"	1	"NULL"	"0,1024,0"	"0,90,0"	"NULL"
TRACKASSEMBLY_PIECES	"models/anytracks/straight/hs_2048.mdl"	"Anyone's Horrible Trackpack"	"Horrible Straight 2048"	2	"NULL"	"0,-1024,0"	"0,-90,0"	"NULL"
TRACKASSEMBLY_PIECES	"models/anytracks/straight/hs_256.mdl"	"Anyone's Horrible Trackpack"	"Horrible Straight 256"	1	"NULL"	"0,128,0"	"0,90,0"	"NULL"
TRACKASSEMBLY_PIECES	"models/anytracks/straight/hs_256.mdl"	"Anyone's Horrible Trackpack"	"Horrible Straight 256"	2	"NULL"	"0,-128,0"	"0,-90,0"	"NULL"
TRACKASSEMBLY_PIECES	"models/anytracks/straight/hs_512.mdl"	"Anyone's Horrible Trackpack"	"Horrible Straight 512"	1	"NULL"	"0,256,0"	"0,90,0"	"NULL"
TRACKASSEMBLY_PIECES	"models/anytracks/straight/hs_512.mdl"	"Anyone's Horrible Trackpack"	"Horrible Straight 512"	2	"NULL"	"0,-256,0"	"0,-90,0"	"NULL"
TRACKASSEMBLY_PIECES	"models/anytracks/straight/hs_64.mdl"	"Anyone's Horrible Trackpack"	"Horrible Straight 64"	1	"NULL"	"0,32,0"	"0,90,0"	"NULL"
TRACKASSEMBLY_PIECES	"models/anytracks/straight/hs_64.mdl"	"Anyone's Horrible Trackpack"	"Horrible Straight 64"	2	"NULL"	"0,-32,0"	"0,-90,0"	"NULL"
TRACKASSEMBLY_PIECES	"models/anytracks/straight/s_1024.mdl"	"Anyone's Horrible Trackpack"	"Straight 1024"	1	"NULL"	"0,512,0"	"0,90,0"	"NULL"
TRACKASSEMBLY_PIECES	"models/anytracks/straight/s_1024.mdl"	"Anyone's Horrible Trackpack"	"Straight 1024"	2	"NULL"	"0,-512,0"	"0,-90,0"	"NULL"
TRACKASSEMBLY_PIECES	"models/anytracks/straight/s_128.mdl"	"Anyone's Horrible Trackpack"	"Straight 128"	1	"NULL"	"0,64,0"	"0,90,0"	"NULL"
TRACKASSEMBLY_PIECES	"models/anytracks/straight/s_128.mdl"	"Anyone's Horrible Trackpack"	"Straight 128"	2	"NULL"	"0,-64,0"	"0,-90,0"	"NULL"
TRACKASSEMBLY_PIECES	"models/anytracks/straight/s_2048.mdl"	"Anyone's Horrible Trackpack"	"Straight 2048"	1	"NULL"	"0,1024,0"	"0,90,0"	"NULL"
TRACKASSEMBLY_PIECES	"models/anytracks/straight/s_2048.mdl"	"Anyone's Horrible Trackpack"	"Straight 2048"	2	"NULL"	"0,-1024,0"	"0,-90,0"	"NULL"
TRACKASSEMBLY_PIECES	"models/anytracks/straight/s_256.mdl"	"Anyone's Horrible Trackpack"	"Straight 256"	1	"NULL"	"0,128,0"	"0,90,0"	"NULL"
TRACKASSEMBLY_PIECES	"models/anytracks/straight/s_256.mdl"	"Anyone's Horrible Trackpack"	"Straight 256"	2	"NULL"	"0,-128,0"	"0,-90,0"	"NULL"
TRACKASSEMBLY_PIECES	"models/anytracks/straight/s_32.mdl"	"Anyone's Horrible Trackpack"	"Straight 32"	1	"NULL"	"0,16,0"	"0,90,0"	"NULL"
TRACKASSEMBLY_PIECES	"models/anytracks/straight/s_32.mdl"	"Anyone's Horrible Trackpack"	"Straight 32"	2	"NULL"	"0,-16,0"	"0,-90,0"	"NULL"
TRACKASSEMBLY_PIECES	"models/anytracks/straight/s_4096.mdl"	"Anyone's Horrible Trackpack"	"Straight 4096"	1	"NULL"	"0,2048,0"	"0,90,0"	"NULL"
TRACKASSEMBLY_PIECES	"models/anytracks/straight/s_4096.mdl"	"Anyone's Horrible Trackpack"	"Straight 4096"	2	"NULL"	"0,-2048,0"	"0,-90,0"	"NULL"
TRACKASSEMBLY_PIECES	"models/anytracks/straight/s_512.mdl"	"Anyone's Horrible Trackpack"	"Straight 512"	1	"NULL"	"0,256,0"	"0,90,0"	"NULL"
TRACKASSEMBLY_PIECES	"models/anytracks/straight/s_512.mdl"	"Anyone's Horrible Trackpack"	"Straight 512"	2	"NULL"	"0,-256,0"	"0,-90,0"	"NULL"
TRACKASSEMBLY_PIECES	"models/anytracks/straight/s_64.mdl"	"Anyone's Horrible Trackpack"	"Straight 64"	1	"NULL"	"0,32,0"	"0,90,0"	"NULL"
TRACKASSEMBLY_PIECES	"models/anytracks/straight/s_64.mdl"	"Anyone's Horrible Trackpack"	"Straight 64"	2	"NULL"	"0,-32,0"	"0,-90,0"	"NULL"
TRACKASSEMBLY_PIECES	"models/craptrax/curve_cs_std/curve_cs_std_damaged.mdl"	"Battleship's abandoned rails"	"Curve Cs Std Damaged"	1	"NULL"	"0,0,-16.110403"	"NULL"	"NULL"
TRACKASSEMBLY_PIECES	"models/craptrax/curve_cs_std/curve_cs_std_damaged.mdl"	"Battleship's abandoned rails"	"Curve Cs Std Damaged"	2	"NULL"	"-966.40771,127.97242,-16.110403"	"0,165,0"	"NULL"
TRACKASSEMBLY_PIECES	"models/craptrax/curve_cs_std/curve_cs_std_nodamage.mdl"	"Battleship's abandoned rails"	"Curve Cs Std Nodamage"	1	"NULL"	"0,0,-16.110403"	"NULL"	"NULL"
TRACKASSEMBLY_PIECES	"models/craptrax/curve_cs_std/curve_cs_std_nodamage.mdl"	"Battleship's abandoned rails"	"Curve Cs Std Nodamage"	2	"NULL"	"-966.40771,127.97242,-16.110403"	"0,165,0"	"NULL"
TRACKASSEMBLY_PIECES	"models/craptrax/curver1/curve_r1_damaged.mdl"	"Battleship's abandoned rails"	"Curve R1 Damaged"	1	"NULL"	"0,0,-16.110403"	"NULL"	"NULL"
TRACKASSEMBLY_PIECES	"models/craptrax/curver1/curve_r1_damaged.mdl"	"Battleship's abandoned rails"	"Curve R1 Damaged"	2	"NULL"	"-1060.13232,139.53517,-16.110403"	"0,165,0"	"NULL"
TRACKASSEMBLY_PIECES	"models/craptrax/curver1/curve_r1_nodamage.mdl"	"Battleship's abandoned rails"	"Curve R1 Nodamage"	1	"NULL"	"0,0,-16.110403"	"NULL"	"NULL"
TRACKASSEMBLY_PIECES	"models/craptrax/curver1/curve_r1_nodamage.mdl"	"Battleship's abandoned rails"	"Curve R1 Nodamage"	2	"NULL"	"-1060.13232,139.53517,-16.110403"	"0,165,0"	"NULL"
TRACKASSEMBLY_PIECES	"models/craptrax/curver11/curve_r11_damaged.mdl"	"Battleship's abandoned rails"	"Curve R11 Damaged"	1	"NULL"	"0,0,-16.110403"	"NULL"	"NULL"
TRACKASSEMBLY_PIECES	"models/craptrax/curver11/curve_r11_damaged.mdl"	"Battleship's abandoned rails"	"Curve R11 Damaged"	2	"NULL"	"-1086.07532,450.1528,-16.110403"	"0,135,0"	"NULL"
TRACKASSEMBLY_PIECES	"models/craptrax/curver11/curve_r11_nodamage.mdl"	"Battleship's abandoned rails"	"Curve R11 Nodamage"	1	"NULL"	"0,0,-16.110403"	"NULL"	"NULL"
TRACKASSEMBLY_PIECES	"models/craptrax/curver11/curve_r11_nodamage.mdl"	"Battleship's abandoned rails"	"Curve R11 Nodamage"	2	"NULL"	"-1086.07532,450.1528,-16.110403"	"0,135,0"	"NULL"
TRACKASSEMBLY_PIECES	"models/craptrax/curver2/curve_r2_damaged.mdl"	"Battleship's abandoned rails"	"Curve R2 Damaged"	1	"NULL"	"0,0,-16.110403"	"NULL"	"NULL"
TRACKASSEMBLY_PIECES	"models/craptrax/curver2/curve_r2_damaged.mdl"	"Battleship's abandoned rails"	"Curve R2 Damaged"	2	"NULL"	"-993.86975,130.8159,-16.110403"	"0,165,0"	"NULL"
TRACKASSEMBLY_PIECES	"models/craptrax/curver2/curve_r2_nodamage.mdl"	"Battleship's abandoned rails"	"Curve R2 Nodamage"	1	"NULL"	"0,0,-16.110403"	"NULL"	"NULL"
TRACKASSEMBLY_PIECES	"models/craptrax/curver2/curve_r2_nodamage.mdl"	"Battleship's abandoned rails"	"Curve R2 Nodamage"	2	"NULL"	"-993.86975,130.8159,-16.110403"	"0,165,0"	"NULL"
TRACKASSEMBLY_PIECES	"models/craptrax/curver3/curve_r3_damaged.mdl"	"Battleship's abandoned rails"	"Curve R3 Damaged"	1	"NULL"	"0,0,-16.110403"	"NULL"	"NULL"
TRACKASSEMBLY_PIECES	"models/craptrax/curver3/curve_r3_damaged.mdl"	"Battleship's abandoned rails"	"Curve R3 Damaged"	2	"NULL"	"-927.61951,122.07793,-16.110403"	"0,165,0"	"NULL"
TRACKASSEMBLY_PIECES	"models/craptrax/curver3/curve_r3_nodamage.mdl"	"Battleship's abandoned rails"	"Curve R3 Nodamage"	1	"NULL"	"0,0,-16.110403"	"NULL"	"NULL"
TRACKASSEMBLY_PIECES	"models/craptrax/curver3/curve_r3_nodamage.mdl"	"Battleship's abandoned rails"	"Curve R3 Nodamage"	2	"NULL"	"-927.61951,122.07793,-16.110403"	"0,165,0"	"NULL"
TRACKASSEMBLY_PIECES	"models/craptrax/straight1x/straight_1x_damaged.mdl"	"Battleship's abandoned rails"	"Straight 1x Damaged"	1	"NULL"	" 64,0,-16.110403"	"NULL"	"NULL"
TRACKASSEMBLY_PIECES	"models/craptrax/straight1x/straight_1x_damaged.mdl"	"Battleship's abandoned rails"	"Straight 1x Damaged"	2	"NULL"	"-64,0,-16.110403"	"0,-180,0"	"NULL"
TRACKASSEMBLY_PIECES	"models/craptrax/straight1x/straight_1x_nodamage.mdl"	"Battleship's abandoned rails"	"Straight 1x Nodamage"	1	"NULL"	" 64,0,-16.110403"	"NULL"	"NULL"
TRACKASSEMBLY_PIECES	"models/craptrax/straight1x/straight_1x_nodamage.mdl"	"Battleship's abandoned rails"	"Straight 1x Nodamage"	2	"NULL"	"-64,0,-16.110403"	"0,-180,0"	"NULL"
TRACKASSEMBLY_PIECES	"models/craptrax/straight2x/straight_2x_damaged.mdl"	"Battleship's abandoned rails"	"Straight 2x Damaged"	1	"NULL"	" 128,0,-16.110403"	"NULL"	"NULL"
TRACKASSEMBLY_PIECES	"models/craptrax/straight2x/straight_2x_damaged.mdl"	"Battleship's abandoned rails"	"Straight 2x Damaged"	2	"NULL"	"-128,0,-16.110403"	"0,-180,0"	"NULL"
TRACKASSEMBLY_PIECES	"models/craptrax/straight2x/straight_2x_nodamage.mdl"	"Battleship's abandoned rails"	"Straight 2x Nodamage"	1	"NULL"	" 128,0,-16.110403"	"NULL"	"NULL"
TRACKASSEMBLY_PIECES	"models/craptrax/straight2x/straight_2x_nodamage.mdl"	"Battleship's abandoned rails"	"Straight 2x Nodamage"	2	"NULL"	"-128,0,-16.110403"	"0,-180,0"	"NULL"
TRACKASSEMBLY_PIECES	"models/craptrax/straight3x/straight_3x_damaged.mdl"	"Battleship's abandoned rails"	"Straight 3x Damaged"	1	"NULL"	" 192,0,-16.110403"	"NULL"	"NULL"
TRACKASSEMBLY_PIECES	"models/craptrax/straight3x/straight_3x_damaged.mdl"	"Battleship's abandoned rails"	"Straight 3x Damaged"	2	"NULL"	"-192,0,-16.110403"	"0,180,0"	"NULL"
TRACKASSEMBLY_PIECES	"models/craptrax/straight3x/straight_3x_nodamage.mdl"	"Battleship's abandoned rails"	"Straight 3x Nodamage"	1	"NULL"	" 192,0,-16.110403"	"NULL"	"NULL"
TRACKASSEMBLY_PIECES	"models/craptrax/straight3x/straight_3x_nodamage.mdl"	"Battleship's abandoned rails"	"Straight 3x Nodamage"	2	"NULL"	"-192,0,-16.110403"	"0,180,0"	"NULL"
TRACKASSEMBLY_PIECES	"models/craptrax/straight4x/straight_4x_damaged.mdl"	"Battleship's abandoned rails"	"Straight 4x Damaged"	1	"NULL"	" 256,0,-16.110403"	"NULL"	"NULL"
TRACKASSEMBLY_PIECES	"models/craptrax/straight4x/straight_4x_damaged.mdl"	"Battleship's abandoned rails"	"Straight 4x Damaged"	2	"NULL"	"-256,0,-16.110403"	"0,-180,0"	"NULL"
TRACKASSEMBLY_PIECES	"models/craptrax/straight4x/straight_4x_nodamage.mdl"	"Battleship's abandoned rails"	"Straight 4x Nodamage"	1	"NULL"	" 256,0,-16.110403"	"NULL"	"NULL"
TRACKASSEMBLY_PIECES	"models/craptrax/straight4x/straight_4x_nodamage.mdl"	"Battleship's abandoned rails"	"Straight 4x Nodamage"	2	"NULL"	"-256,0,-16.110403"	"0,-180,0"	"NULL"
TRACKASSEMBLY_PIECES	"models/craptrax/straight8x/straight_8x_damaged.mdl"	"Battleship's abandoned rails"	"Straight 8x Damaged"	1	"NULL"	" 512,0,-16.110403"	"NULL"	"NULL"
TRACKASSEMBLY_PIECES	"models/craptrax/straight8x/straight_8x_damaged.mdl"	"Battleship's abandoned rails"	"Straight 8x Damaged"	2	"NULL"	"-512,0,-16.110403"	"0,180,0"	"NULL"
TRACKASSEMBLY_PIECES	"models/craptrax/straight8x/straight_8x_nodamage.mdl"	"Battleship's abandoned rails"	"Straight 8x Nodamage"	1	"NULL"	" 512,0,-16.110403"	"NULL"	"NULL"
TRACKASSEMBLY_PIECES	"models/craptrax/straight8x/straight_8x_nodamage.mdl"	"Battleship's abandoned rails"	"Straight 8x Nodamage"	2	"NULL"	"-512,0,-16.110403"	"0,180,0"	"NULL"
TRACKASSEMBLY_PIECES	"models/craptrax/straight_cs_std/straight_cs_std_damaged.mdl"	"Battleship's abandoned rails"	"Straight Cs Std Damaged"	1	"NULL"	"454.40574,0.01251,-16.110403"	"NULL"	"NULL"
TRACKASSEMBLY_PIECES	"models/craptrax/straight_cs_std/straight_cs_std_damaged.mdl"	"Battleship's abandoned rails"	"Straight Cs Std Damaged"	2	"NULL"	"-454.40574,0.01248,-16.110403"	"0,180,0"	"NULL"
TRACKASSEMBLY_PIECES	"models/craptrax/straight_cs_std/straight_cs_std_nodamage.mdl"	"Battleship's abandoned rails"	"Straight Cs Std Nodamage"	1	"NULL"	"454.40574,0.01251,-16.110403"	"NULL"	"NULL"
TRACKASSEMBLY_PIECES	"models/craptrax/straight_cs_std/straight_cs_std_nodamage.mdl"	"Battleship's abandoned rails"	"Straight Cs Std Nodamage"	2	"NULL"	"-454.40574,0.01248,-16.110403"	"0,180,0"	"NULL"
TRACKASSEMBLY_PIECES	"models/craptrax/switch_left_std/switch_left_base_std.mdl"	"Battleship's abandoned rails"	"Switch Left Base Std"	1	"NULL"	" 512,0,-16.110403"	"NULL"	"NULL"
TRACKASSEMBLY_PIECES	"models/craptrax/switch_left_std/switch_left_base_std.mdl"	"Battleship's abandoned rails"	"Switch Left Base Std"	2	"NULL"	"-512,0,-16.110403"	"0,180,0"	"NULL"
TRACKASSEMBLY_PIECES	"models/craptrax/switch_left_std/switch_left_base_std.mdl"	"Battleship's abandoned rails"	"Switch Left Base Std"	3	"NULL"	"-454.49805,-128.04355,-16.110403"	"0,-165,0"	"NULL"
TRACKASSEMBLY_PIECES	"models/craptrax/switch_right_std/switch_right_base_std.mdl"	"Battleship's abandoned rails"	"Switch Right Base Std"	1	"NULL"	" 512,0,-16.110403"	"NULL"	"NULL"
TRACKASSEMBLY_PIECES	"models/craptrax/switch_right_std/switch_right_base_std.mdl"	"Battleship's abandoned rails"	"Switch Right Base Std"	2	"NULL"	"-512,0,-16.110403"	"0,180,0"	"NULL"
TRACKASSEMBLY_PIECES	"models/craptrax/switch_right_std/switch_right_base_std.mdl"	"Battleship's abandoned rails"	"Switch Right Base Std"	3	"NULL"	"-454.48437,128.0936,-16.110403"	"0,165,0"	"NULL"
TRACKASSEMBLY_PIECES	"models/bobsters_trains/rails/2ft/curves/curve_225_left_1024.mdl"	"Bobster's two feet rails"	"Curve 225 Left 1024"	1	"NULL"	"0,0,3.016"	"0,180,0"	"NULL"
TRACKASSEMBLY_PIECES	"models/bobsters_trains/rails/2ft/curves/curve_225_left_1024.mdl"	"Bobster's two feet rails"	"Curve 225 Left 1024"	2	"NULL"	"249.471,49.621,3.016"	"0,22.5,0"	"NULL"
TRACKASSEMBLY_PIECES	"models/bobsters_trains/rails/2ft/curves/curve_225_left_2048.mdl"	"Bobster's two feet rails"	"Curve 225 Left 2048"	1	"NULL"	"0,0,3.016"	"0,180,0"	"NULL"
TRACKASSEMBLY_PIECES	"models/bobsters_trains/rails/2ft/curves/curve_225_left_2048.mdl"	"Bobster's two feet rails"	"Curve 225 Left 2048"	2	"NULL"	"498.941,99.246,3.016"	"0,22.5,0"	"NULL"
TRACKASSEMBLY_PIECES	"models/bobsters_trains/rails/2ft/curves/curve_225_left_512.mdl"	"Bobster's two feet rails"	"Curve 225 Left 512"	1	"NULL"	"0,0,3.016"	"0,180,0"	"NULL"
TRACKASSEMBLY_PIECES	"models/bobsters_trains/rails/2ft/curves/curve_225_left_512.mdl"	"Bobster's two feet rails"	"Curve 225 Left 512"	2	"NULL"	"124.735,24.812,3.016"	"0,22.5,0"	"NULL"
TRACKASSEMBLY_PIECES	"models/bobsters_trains/rails/2ft/curves/curve_225_right_1024.mdl"	"Bobster's two feet rails"	"Curve 225 Right 1024"	1	"NULL"	"0,0,3.016"	"0,180,0"	"NULL"
TRACKASSEMBLY_PIECES	"models/bobsters_trains/rails/2ft/curves/curve_225_right_1024.mdl"	"Bobster's two feet rails"	"Curve 225 Right 1024"	2	"NULL"	"249.471,-49.623,3.016"	"0,-22.5,0"	"NULL"
TRACKASSEMBLY_PIECES	"models/bobsters_trains/rails/2ft/curves/curve_225_right_2048.mdl"	"Bobster's two feet rails"	"Curve 225 Right 2048"	1	"NULL"	"0,0,3.016"	"0,180,0"	"NULL"
TRACKASSEMBLY_PIECES	"models/bobsters_trains/rails/2ft/curves/curve_225_right_2048.mdl"	"Bobster's two feet rails"	"Curve 225 Right 2048"	2	"NULL"	"498.945,-99.237,3.016"	"0,-22.5,0"	"NULL"
TRACKASSEMBLY_PIECES	"models/bobsters_trains/rails/2ft/curves/curve_225_right_512.mdl"	"Bobster's two feet rails"	"Curve 225 Right 512"	1	"NULL"	"0,0,3.016"	"0,180,0"	"NULL"
TRACKASSEMBLY_PIECES	"models/bobsters_trains/rails/2ft/curves/curve_225_right_512.mdl"	"Bobster's two feet rails"	"Curve 225 Right 512"	2	"NULL"	"124.736,-24.811,3.016"	"0,-22.5,0"	"NULL"
TRACKASSEMBLY_PIECES	"models/bobsters_trains/rails/2ft/curves/curve_45_left_1024.mdl"	"Bobster's two feet rails"	"Curve 45 Left 1024"	1	"NULL"	"0,0,3.016"	"0,180,0"	"NULL"
TRACKASSEMBLY_PIECES	"models/bobsters_trains/rails/2ft/curves/curve_45_left_1024.mdl"	"Bobster's two feet rails"	"Curve 45 Left 1024"	2	"NULL"	"460.962,190.936,3.016"	"0,45,0"	"NULL"
TRACKASSEMBLY_PIECES	"models/bobsters_trains/rails/2ft/curves/curve_45_left_2048.mdl"	"Bobster's two feet rails"	"Curve 45 Left 2048"	1	"NULL"	"0,0,3.016"	"0,180,0"	"NULL"
TRACKASSEMBLY_PIECES	"models/bobsters_trains/rails/2ft/curves/curve_45_left_2048.mdl"	"Bobster's two feet rails"	"Curve 45 Left 2048"	2	"NULL"	"921.925,381.872,3.016"	"0,45,0"	"NULL"
TRACKASSEMBLY_PIECES	"models/bobsters_trains/rails/2ft/curves/curve_45_left_512.mdl"	"Bobster's two feet rails"	"Curve 45 Left 512"	1	"NULL"	"0,0,3.016"	"0,180,0"	"NULL"
TRACKASSEMBLY_PIECES	"models/bobsters_trains/rails/2ft/curves/curve_45_left_512.mdl"	"Bobster's two feet rails"	"Curve 45 Left 512"	2	"NULL"	"230.481,95.468,3.016"	"0,45,0"	"NULL"
TRACKASSEMBLY_PIECES	"models/bobsters_trains/rails/2ft/curves/curve_45_right_1024.mdl"	"Bobster's two feet rails"	"Curve 45 Right 1024"	1	"NULL"	"0,0,3.016"	"0,-180,0"	"NULL"
TRACKASSEMBLY_PIECES	"models/bobsters_trains/rails/2ft/curves/curve_45_right_1024.mdl"	"Bobster's two feet rails"	"Curve 45 Right 1024"	2	"NULL"	"460.963,-190.936,3.016"	"0,-45,0"	"NULL"
TRACKASSEMBLY_PIECES	"models/bobsters_trains/rails/2ft/curves/curve_45_right_2048.mdl"	"Bobster's two feet rails"	"Curve 45 Right 2048"	1	"NULL"	"0,0,3.016"	"0,180,0"	"NULL"
TRACKASSEMBLY_PIECES	"models/bobsters_trains/rails/2ft/curves/curve_45_right_2048.mdl"	"Bobster's two feet rails"	"Curve 45 Right 2048"	2	"NULL"	"921.925,-381.872,3.016"	"0,-45,0"	"NULL"
TRACKASSEMBLY_PIECES	"models/bobsters_trains/rails/2ft/curves/curve_45_right_512.mdl"	"Bobster's two feet rails"	"Curve 45 Right 512"	1	"NULL"	"0,0,3.016"	"0,-180,0"	"NULL"
TRACKASSEMBLY_PIECES	"models/bobsters_trains/rails/2ft/curves/curve_45_right_512.mdl"	"Bobster's two feet rails"	"Curve 45 Right 512"	2	"NULL"	"230.481,-95.469,3.016"	"0,-45,0"	"NULL"
